idSolicitud,idAgente,idUsuario,FechaCreacion,FechaResolucion,Categoria,SubCategoria,idModo,idModulo,ValorEncuesta
18105,694,558,"2020-01-17 22:50:24",NULL,"Soporte Externo",Consulta,9,67,0
18106,694,523,"2020-01-17 22:58:25",NULL,"Soporte Externo",Consulta,9,66,0
18108,105,577,"2020-01-17 23:07:16",NULL,"Soporte Externo",Configuración,9,66,0
18111,105,553,"2020-01-18 04:38:38",NULL,"Soporte Externo",Capacitación,9,66,0
18112,105,553,"2020-01-18 05:57:38",NULL,"Soporte Externo",Capacitación,9,72,0
18113,105,578,"2020-01-20 22:02:14",NULL,"Soporte Externo",Capacitación,9,72,0
18114,694,544,"2020-01-21 00:00:44",NULL,"Soporte Externo",Error,10,64,0
18115,105,556,"2020-01-21 00:00:55",NULL,"Soporte Externo",Capacitación,9,71,0
18116,694,579,"2020-01-21 01:12:18",NULL,"Soporte Externo",Consulta,9,67,0
18119,694,551,"2020-01-21 04:39:34",NULL,"Soporte Externo",Consulta,9,64,0
18120,694,527,"2020-01-21 05:06:36",NULL,"Soporte Externo",Configuración,9,66,0
18121,694,510,"2020-01-21 05:21:49",NULL,"Soporte Externo",Consulta,9,77,0
18122,694,540,"2020-01-21 06:54:56",NULL,"Soporte Externo",Consulta,9,64,0
18123,105,539,"2020-01-21 22:02:56",NULL,"Soporte Externo",Actualización,9,65,0
18125,694,574,"2020-01-22 00:17:41",NULL,"Soporte Externo",Consulta,9,67,0
18126,694,514,"2020-01-22 00:20:11",NULL,"Soporte Externo",Consulta,9,65,0
18127,694,580,"2020-01-22 00:23:43",NULL,"Soporte Externo",Consulta,9,67,0
18128,105,558,"2020-01-22 00:33:08",NULL,"Soporte Externo",Capacitación,9,72,0
18129,105,552,"2020-01-22 01:22:29",NULL,"Soporte Externo",Capacitación,9,64,0
18133,694,573,"2020-01-22 04:31:35",NULL,"Soporte Externo",Consulta,9,66,0
18134,694,581,"2020-01-22 06:10:30",NULL,"Soporte Externo",Consulta,9,64,0
18135,105,561,"2020-01-22 06:13:10",NULL,"Soporte Externo",Error,9,64,0
18136,694,554,"2020-01-22 06:14:15",NULL,Proyectos,Planificación,8,65,0
18137,105,558,"2020-01-22 06:33:46",NULL,"Soporte Externo",Configuración,9,64,0
18138,694,543,"2020-01-22 06:55:50",NULL,"Soporte Externo",Consulta,9,66,0
18142,694,560,"2020-01-22 22:43:29",NULL,"Soporte Externo",Consulta,9,64,0
18143,694,582,"2020-01-22 23:10:41",NULL,"Soporte Externo",Consulta,9,70,0
18144,105,583,"2020-01-22 23:15:12",NULL,"Soporte Externo",Capacitación,9,64,0
18145,105,543,"2020-01-22 23:25:29",NULL,"Soporte Externo",Configuración,9,66,0
18147,105,584,"2020-01-23 00:05:26",NULL,"Soporte Externo",Capacitación,9,64,0
18148,105,543,"2020-01-23 00:10:42",NULL,"Soporte Externo",Capacitación,9,64,0
18150,694,552,"2020-01-23 00:32:34",NULL,"Soporte Externo",Consulta,9,64,0
18152,694,549,"2020-01-23 01:19:52",NULL,"Soporte Externo",Error,10,64,0
18153,694,585,"2020-01-23 01:29:41",NULL,"Soporte Externo",Actualización,9,68,0
18155,694,586,"2020-01-23 02:05:02",NULL,"Soporte Externo",Consulta,9,71,0
18156,105,587,"2020-01-23 04:08:05",NULL,"Soporte Externo",General,9,65,0
18159,105,588,"2020-01-23 06:12:36",NULL,"Soporte Externo",Capacitación,9,66,0
18160,105,556,"2020-01-23 06:39:00",NULL,"Soporte Externo",Capacitación,9,66,0
